INPUT: [No Input Found] | OUTPUT: [1,0.60111749]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.27743015,0.07875064]
INPUT: [No Input Found] | OUTPUT: [1,0.32527745]
INPUT: [No Input Found] | OUTPUT: [1,0.60344112]
INPUT: [No Input Found] | OUTPUT: [-0.33857962,0.52787304]
INPUT: [No Input Found] | OUTPUT: [-0.45201185,0]
INPUT: [No Input Found] | OUTPUT: [-0.58944464,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.63133758]
INPUT: [No Input Found] | OUTPUT: [-1,0.50715053]
INPUT: [No Input Found] | OUTPUT: [-1,0.41916409]
INPUT: [No Input Found] | OUTPUT: [0.76271141,0]
INPUT: [No Input Found] | OUTPUT: [1,0.14563707]
INPUT: [No Input Found] | OUTPUT: [1,0.23499152]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.77394092]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.75672936,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.73850822]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [0.79004163,0.25542259]
INPUT: [No Input Found] | OUTPUT: [0.55020297,0.2932449]
INPUT: [No Input Found] | OUTPUT: [1,0.92316687]
INPUT: [No Input Found] | OUTPUT: [1,0.59252822]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.30402568,0]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.13673414]
INPUT: [No Input Found] | OUTPUT: [1,0.66909915]
INPUT: [No Input Found] | OUTPUT: [1,0.73800266]
INPUT: [No Input Found] | OUTPUT: [-0.12341031,0.17208791]
INPUT: [No Input Found] | OUTPUT: [0.015214737,0]
INPUT: [No Input Found] | OUTPUT: [0.91412842,0]
INPUT: [No Input Found] | OUTPUT: [-0.47174925,0.84949827]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-1,0.23586085]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.50303197,0.73909652]
INPUT: [No Input Found] | OUTPUT: [0.99829972,0]
INPUT: [No Input Found] | OUTPUT: [0.26291728,0]
INPUT: [No Input Found] | OUTPUT: [-0.70663828,0.75190592]
INPUT: [No Input Found] | OUTPUT: [-0.14094268,0]
INPUT: [No Input Found] | OUTPUT: [0.55151093,1]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [1,0.71735406]
INPUT: [No Input Found] | OUTPUT: [-1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.96594745,0.2752364]
INPUT: [No Input Found] | OUTPUT: [1,0.28320017]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.94629246]
INPUT: [No Input Found] | OUTPUT: [0.35497221,0.72256184]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.039844923,0]
INPUT: [No Input Found] | OUTPUT: [-0.32307264,0.53629869]
INPUT: [No Input Found] | OUTPUT: [-0.85870624,0]
INPUT: [No Input Found] | OUTPUT: [0.75311953,0]
INPUT: [No Input Found] | OUTPUT: [0.97586012,0.98300099]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.25058296,0]
INPUT: [No Input Found] | OUTPUT: [0.9931739,0.50609815]
INPUT: [No Input Found] | OUTPUT: [-0.013074979,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.021181554]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.92634058]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.40101603]
INPUT: [No Input Found] | OUTPUT: [-0.36544377,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.63045192,0.29359686]
INPUT: [No Input Found] | OUTPUT: [1,0.25230202]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [-0.68225962,0.18744545]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.47900042]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.25517216,0.36542282]
INPUT: [No Input Found] | OUTPUT: [-0.11267316,1]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.19448008]
INPUT: [No Input Found] | OUTPUT: [1,0.24232471]
INPUT: [No Input Found] | OUTPUT: [0.9667688,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [0.95606267,0]
INPUT: [No Input Found] | OUTPUT: [1,0.60080707]
INPUT: [No Input Found] | OUTPUT: [-0.42915693,0.70831776]
INPUT: [No Input Found] | OUTPUT: [-1,0.52252913]
INPUT: [No Input Found] | OUTPUT: [1,1]
INPUT: [No Input Found] | OUTPUT: [-0.78461492,0.84943289]
INPUT: [No Input Found] | OUTPUT: [0.51450586,1]
INPUT: [No Input Found] | OUTPUT: [1,0.55055493]
INPUT: [No Input Found] | OUTPUT: [1,0.82032037]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.15128471]
INPUT: [No Input Found] | OUTPUT: [-0.17496537,0.71215606]
INPUT: [No Input Found] | OUTPUT: [1,0.28583401]
INPUT: [No Input Found] | OUTPUT: [0.37322301,0]
INPUT: [No Input Found] | OUTPUT: [1,0]
INPUT: [No Input Found] | OUTPUT: [1,0.54995501]
INPUT: [No Input Found] | OUTPUT: [1,0.59888893]
INPUT: [No Input Found] | OUTPUT: [1,0.46699819]
INPUT: [No Input Found] | OUTPUT: [1,0.063445508]
INPUT: [No Input Found] | OUTPUT: [1,0.79003525]
INPUT: [No Input Found] | OUTPUT: [1,1]
